                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4485,                 1.6986,                 1.1161,                0.82663,                0.62278,                0.72062,                0.44828,                 1.2324,                0.95551,                 1.0386,             0.00036446,             0.00036446,             0.00036446
                      1,                 1.3301,                 1.0012,                 1.0624,                0.69306,                 0.6511,                0.70412,                0.43865,                 1.2347,                0.93175,                 1.0542,             0.00073333,             0.00073333,             0.00073333
                      2,                 1.3234,                 0.9488,                 1.0679,                0.79339,                0.65728,                0.73661,                0.45392,                 1.2591,                0.92778,                 1.0695,              0.0011007,              0.0011007,              0.0011007
                      3,                 1.2638,                0.86555,                 1.0478,                0.73715,                0.68806,                0.75235,                0.45633,                 1.2393,                 0.9119,                  1.069,              0.0011044,              0.0011044,              0.0011044
                      4,                 1.2462,                 0.8503,                 1.0414,                0.73079,                0.68669,                0.69964,                0.41195,                 1.2483,                0.90076,                 1.0818,              0.0011044,              0.0011044,              0.0011044
                      5,                 1.2279,                0.81469,                 1.0312,                0.82318,                0.68986,                 0.7597,                0.47806,                  1.198,                0.80554,                 1.0529,              0.0011022,              0.0011022,              0.0011022
                      6,                  1.204,                0.76907,                  1.013,                 0.7385,                0.69122,                0.77457,                0.48846,                  1.188,                0.83989,                  1.047,                 0.0011,                 0.0011,                 0.0011
                      7,                 1.1441,                0.72942,                 1.0127,                0.80399,                0.74122,                0.79386,                0.50211,                 1.1612,                0.73246,                 1.0298,              0.0010978,              0.0010978,              0.0010978
                      8,                 1.1458,                0.72071,                 0.9974,                0.80774,                0.71579,                0.80258,                0.51013,                 1.1818,                0.77259,                 1.0452,              0.0010956,              0.0010956,              0.0010956
                      9,                 1.1263,                0.69704,                0.98954,                0.83418,                0.77837,                 0.8021,                0.51783,                  1.143,                0.71549,                 1.0346,              0.0010934,              0.0010934,              0.0010934
                     10,                  1.108,                0.68584,                0.98647,                0.81781,                0.77278,                0.82098,                0.52631,                 1.1244,                0.68299,                 1.0174,              0.0010912,              0.0010912,              0.0010912
                     11,                 1.1194,                0.68406,                0.98782,                0.83115,                0.73229,                0.81559,                0.54288,                  1.157,                 0.6831,                   1.04,               0.001089,               0.001089,               0.001089
                     12,                 1.0879,                0.65749,                0.97945,                0.78419,                0.77969,                0.82433,                0.53318,                 1.1558,                0.69825,                 1.0328,              0.0010868,              0.0010868,              0.0010868
                     13,                 1.0655,                0.64431,                0.96722,                0.82275,                0.77381,                0.83285,                0.54693,                 1.1153,                0.67252,                 1.0073,              0.0010846,              0.0010846,              0.0010846
                     14,                 1.0492,                0.62437,                0.95996,                0.85479,                0.80858,                0.83584,                0.56206,                 1.1094,                0.66386,                 1.0006,              0.0010824,              0.0010824,              0.0010824
                     15,                  1.029,                 0.6132,                0.95213,                0.82513,                0.80748,                0.85321,                0.57057,                 1.0812,                 0.6469,                 0.9979,              0.0010802,              0.0010802,              0.0010802
                     16,                 1.0192,                0.61596,                0.95391,                  0.785,                0.84408,                0.83863,                0.55066,                 1.1157,                0.68126,                  1.021,               0.001078,               0.001078,               0.001078
                     17,                 1.0087,                0.60516,                0.94738,                0.85228,                0.73874,                0.84247,                0.55526,                 1.1036,                0.66485,                 1.0132,              0.0010758,              0.0010758,              0.0010758
                     18,                0.99821,                0.59461,                0.94498,                 0.8147,                0.79874,                0.84408,                0.54564,                 1.0943,                0.66149,                 1.0101,              0.0010736,              0.0010736,              0.0010736
                     19,                0.99431,                0.59015,                 0.9428,                0.85263,                 0.8385,                0.85917,                0.56391,                 1.0922,                0.63971,                 1.0111,              0.0010714,              0.0010714,              0.0010714
                     20,                0.97073,                0.57316,                0.93888,                0.87459,                0.79584,                0.83956,                0.56495,                 1.0901,                0.64637,                 1.0149,              0.0010692,              0.0010692,              0.0010692
                     21,                0.95808,                0.57086,                 0.9321,                  0.846,                0.84956,                0.85147,                0.57385,                 1.0524,                0.66586,                0.99252,               0.001067,               0.001067,               0.001067
                     22,                0.95085,                0.56581,                 0.9295,                0.84842,                0.82825,                0.84402,                0.56704,                 1.0779,                0.62969,                 1.0092,              0.0010648,              0.0010648,              0.0010648
                     23,                0.92776,                0.55322,                0.93123,                0.89198,                0.83138,                0.85578,                0.57899,                 1.0784,                0.62558,                 1.0011,              0.0010626,              0.0010626,              0.0010626
                     24,                0.93521,                0.56487,                 0.9312,                0.80671,                0.84583,                0.83891,                0.54968,                 1.0697,                0.64673,                0.99797,              0.0010604,              0.0010604,              0.0010604
                     25,                0.95016,                0.56977,                0.93179,                0.86226,                0.81754,                0.85492,                0.57964,                 1.0619,                0.62728,                0.99419,              0.0010582,              0.0010582,              0.0010582
                     26,                0.89819,                0.53692,                0.91607,                0.87358,                0.80979,                0.86059,                0.58904,                 1.0493,                0.62432,                0.99387,               0.001056,               0.001056,               0.001056
                     27,                  0.914,                0.53378,                0.91923,                0.84016,                0.82926,                0.84848,                0.57766,                 1.0693,                0.63621,                 1.0129,              0.0010538,              0.0010538,              0.0010538
                     28,                0.91579,                0.53686,                0.92317,                0.85397,                0.82928,                0.85398,                0.58425,                 1.0336,                0.62951,                0.98202,              0.0010516,              0.0010516,              0.0010516
                     29,                0.89555,                0.52947,                0.91783,                0.87308,                0.81586,                 0.8525,                0.57957,                 1.0252,                0.60994,                0.99159,              0.0010494,              0.0010494,              0.0010494
                     30,                0.87451,                 0.5148,                0.90554,                0.87213,                0.83264,                 0.8377,                0.58428,                  1.022,                 0.6265,                0.99729,              0.0010472,              0.0010472,              0.0010472
                     31,                0.88116,                0.51952,                0.90892,                0.88712,                0.78891,                0.85791,                0.60083,                 1.0351,                0.59978,                0.99378,               0.001045,               0.001045,               0.001045
                     32,                0.86644,                0.51565,                 0.9068,                0.87758,                0.82534,                0.86573,                0.58528,                 1.0321,                 0.5958,                0.99832,              0.0010428,              0.0010428,              0.0010428
                     33,                0.85277,                0.49263,                0.89921,                0.81938,                 0.8366,                0.86429,                0.61154,                  1.004,                0.58316,                0.98472,              0.0010406,              0.0010406,              0.0010406
                     34,                0.84584,                0.49269,                0.89738,                0.86485,                0.83898,                0.85199,                0.59184,                 1.0293,                0.62183,                 1.0066,              0.0010384,              0.0010384,              0.0010384
                     35,                 0.8324,                0.48922,                0.89517,                0.85025,                0.84534,                 0.8538,                0.58979,                0.99997,                 0.6019,                 0.9879,              0.0010362,              0.0010362,              0.0010362
                     36,                0.83667,                0.50136,                0.89547,                0.86414,                0.81989,                0.85667,                0.59466,                 1.0032,                0.58278,                0.99296,               0.001034,               0.001034,               0.001034
                     37,                0.81809,                0.48409,                0.89529,                0.85282,                0.84603,                 0.8765,                0.61265,                 1.0029,                0.60109,                0.99314,              0.0010318,              0.0010318,              0.0010318
                     38,                0.81174,                  0.481,                0.89232,                0.85949,                0.83355,                0.87638,                0.61305,                0.99774,                0.59011,                0.98911,              0.0010296,              0.0010296,              0.0010296
                     39,                0.81596,                0.47707,                  0.889,                 0.8763,                0.80582,                0.85585,                  0.612,                 0.9696,                0.57235,                0.97439,              0.0010274,              0.0010274,              0.0010274
                     40,                0.79459,                0.47119,                 0.8855,                0.86199,                0.83321,                0.84465,                0.59954,                0.99401,                0.59273,                0.97816,              0.0010252,              0.0010252,              0.0010252
                     41,                0.79838,                0.47683,                0.89006,                0.83506,                0.86275,                0.84487,                  0.598,                0.96463,                0.57118,                0.98207,               0.001023,               0.001023,               0.001023
                     42,                0.78217,                0.46566,                0.88272,                0.87749,                0.82044,                0.85336,                0.59314,                 1.0071,                0.57165,                0.99036,              0.0010208,              0.0010208,              0.0010208
                     43,                0.77898,                0.46789,                0.88437,                0.87934,                0.82557,                0.84233,                0.60811,                 0.9737,                0.58472,                0.99129,              0.0010186,              0.0010186,              0.0010186
                     44,                0.79357,                0.47195,                0.88848,                0.87034,                0.84799,                0.86056,                0.60058,                0.97602,                0.57797,                0.98862,              0.0010164,              0.0010164,              0.0010164
                     45,                0.77175,                0.46183,                 0.8781,                0.82824,                0.84981,                 0.8646,                0.60859,                0.95898,                0.58904,                0.97721,              0.0010142,              0.0010142,              0.0010142
                     46,                0.75613,                0.45209,                0.87822,                0.87808,                0.81824,                0.84846,                0.60731,                0.97624,                0.57028,                 0.9931,               0.001012,               0.001012,               0.001012
                     47,                0.75745,                0.45155,                0.87658,                0.84968,                0.83952,                0.84492,                0.60671,                0.97375,                0.57251,                0.99739,              0.0010098,              0.0010098,              0.0010098
                     48,                 0.7697,                0.45831,                 0.8766,                0.89048,                0.82238,                0.86333,                 0.6119,                0.97773,                0.56946,                 1.0013,              0.0010076,              0.0010076,              0.0010076
                     49,                0.75907,                0.45048,                0.88011,                0.84154,                 0.8428,                0.85186,                0.61753,                0.96655,                0.57675,                0.98479,              0.0010054,              0.0010054,              0.0010054
                     50,                0.74785,                0.44621,                0.87725,                0.87487,                 0.8589,                0.85726,                0.61587,                0.95336,                0.54739,                0.99786,              0.0010032,              0.0010032,              0.0010032
                     51,                0.72831,                0.43758,                 0.8694,                0.87227,                0.85623,                0.86516,                0.61995,                0.94908,                0.55605,                0.98387,               0.001001,               0.001001,               0.001001
                     52,                0.74299,                0.44427,                0.87517,                0.87628,                0.85199,                0.87529,                0.62723,                0.94447,                0.55807,                0.98024,             0.00099881,             0.00099881,             0.00099881
                     53,                0.73462,                 0.4407,                0.87448,                0.86491,                0.86044,                0.87312,                0.62019,                0.93646,                 0.5526,                0.97977,             0.00099661,             0.00099661,             0.00099661
                     54,                0.72729,                0.44014,                0.87287,                0.84498,                0.83946,                0.86616,                0.60988,                0.97561,                0.58094,                 1.0055,             0.00099441,             0.00099441,             0.00099441
                     55,                0.72909,                 0.4425,                0.87156,                0.86651,                0.84349,                0.86886,                0.61644,                0.96285,                0.57951,                0.98551,             0.00099221,             0.00099221,             0.00099221
                     56,                0.72969,                0.44224,                0.87091,                0.88604,                0.83727,                0.88294,                0.62766,                 0.9335,                0.57967,                0.97599,             0.00099001,             0.00099001,             0.00099001
                     57,                0.71932,                0.43398,                0.86837,                0.85942,                0.84962,                0.87671,                0.63587,                0.93095,                0.57042,                0.98114,             0.00098781,             0.00098781,             0.00098781
                     58,                 0.6955,                0.41904,                0.86107,                0.87228,                0.81984,                0.86535,                0.62314,                0.93208,                 0.5624,                0.98406,             0.00098561,             0.00098561,             0.00098561
                     59,                0.69159,                0.41841,                0.86068,                0.84267,                0.83525,                0.85323,                0.61577,                0.92693,                0.56304,                0.97862,             0.00098341,             0.00098341,             0.00098341
                     60,                0.70477,                0.42772,                0.86561,                0.83624,                0.86473,                0.87084,                 0.6309,                0.92924,                0.55193,                0.97218,             0.00098121,             0.00098121,             0.00098121
                     61,                 0.7206,                0.42688,                0.86527,                0.87286,                0.85432,                0.86892,                0.63189,                0.91947,                0.55758,                0.97432,             0.00097901,             0.00097901,             0.00097901
                     62,                0.69997,                0.41754,                 0.8661,                0.86439,                 0.8479,                0.87163,                0.62415,                0.94791,                 0.5645,                0.98788,             0.00097681,             0.00097681,             0.00097681
                     63,                0.70233,                  0.422,                0.86687,                0.87278,                0.84472,                0.87407,                0.63319,                0.91989,                0.55168,                0.98192,             0.00097461,             0.00097461,             0.00097461
                     64,                 0.6824,                0.41385,                0.85967,                0.86374,                0.84992,                0.87962,                 0.6512,                  0.904,                0.55129,                0.97762,             0.00097241,             0.00097241,             0.00097241
                     65,                0.66914,                0.40785,                0.85251,                0.86854,                0.85597,                0.88325,                0.65754,                0.90746,                0.54269,                0.97438,             0.00097021,             0.00097021,             0.00097021
                     66,                0.67443,                0.40655,                0.86003,                0.90003,                0.84742,                 0.8799,                0.63745,                0.91986,                0.55442,                0.97688,             0.00096801,             0.00096801,             0.00096801
                     67,                 0.6748,                0.41196,                0.86053,                0.88206,                0.85715,                0.86545,                0.63405,                0.91697,                0.56096,                0.99024,             0.00096581,             0.00096581,             0.00096581
                     68,                0.68307,                0.41471,                0.86076,                0.88287,                0.84957,                 0.8597,                0.62777,                0.92834,                0.55278,                0.99956,             0.00096361,             0.00096361,             0.00096361
                     69,                0.67705,                0.41124,                0.85785,                0.90727,                0.84916,                0.87587,                0.63772,                0.91744,                0.55392,                 0.9789,             0.00096141,             0.00096141,             0.00096141
                     70,                0.65716,                0.40001,                0.85386,                0.87392,                0.85393,                0.86664,                 0.6267,                0.92538,                0.55475,                0.99156,             0.00095922,             0.00095922,             0.00095922
                     71,                0.66091,                0.40488,                 0.8548,                0.86426,                0.86296,                0.87369,                0.64235,                0.92378,                 0.5375,                0.98719,             0.00095702,             0.00095702,             0.00095702
                     72,                0.65246,                0.39622,                0.84956,                0.87966,                0.85496,                0.86614,                0.62931,                0.91653,                0.54236,                0.99309,             0.00095482,             0.00095482,             0.00095482
                     73,                0.65895,                0.40223,                0.85419,                0.86908,                0.85006,                0.86489,                 0.6382,                0.89496,                0.57355,                0.96832,             0.00095262,             0.00095262,             0.00095262
                     74,                0.65901,                0.40114,                0.85431,                0.88514,                0.84785,                0.88204,                0.64905,                0.90438,                0.54238,                0.98586,             0.00095042,             0.00095042,             0.00095042
                     75,                0.64059,                0.39158,                0.84755,                0.88406,                0.85293,                0.88569,                0.65033,                0.91031,                0.52312,                0.98864,             0.00094822,             0.00094822,             0.00094822
                     76,                0.64014,                0.39063,                  0.848,                0.87413,                0.86319,                0.87851,                0.65336,                0.90055,                 0.5442,                0.97498,             0.00094602,             0.00094602,             0.00094602
                     77,                0.63438,                0.39511,                0.84989,                0.92838,                0.85345,                0.87647,                0.64343,                0.90855,                0.54347,                0.97864,             0.00094382,             0.00094382,             0.00094382
                     78,                0.62762,                0.38579,                 0.8518,                 0.8993,                0.83385,                 0.8829,                0.63607,                0.90663,                0.54166,                0.98822,             0.00094162,             0.00094162,             0.00094162
                     79,                0.64024,                0.39144,                0.84834,                0.86126,                0.85124,                0.85976,                0.63621,                0.91687,                0.55671,                 0.9994,             0.00093942,             0.00093942,             0.00093942
                     80,                0.63765,                 0.3963,                0.84907,                0.88742,                0.85667,                0.88448,                 0.6544,                0.90249,                 0.5437,                0.98877,             0.00093722,             0.00093722,             0.00093722
                     81,                0.64229,                 0.3948,                 0.8497,                0.86459,                0.83797,                0.86944,                0.63945,                0.90259,                0.53689,                0.98883,             0.00093502,             0.00093502,             0.00093502
                     82,                0.63162,                 0.3875,                0.84949,                0.87625,                0.82711,                0.86508,                0.64343,                0.90118,                0.55506,                0.98928,             0.00093282,             0.00093282,             0.00093282
                     83,                0.63963,                0.38863,                 0.8482,                0.89802,                0.83993,                0.88449,                 0.6541,                0.89693,                0.54562,                0.98818,             0.00093062,             0.00093062,             0.00093062
                     84,                0.63678,                0.39069,                0.84757,                0.89155,                0.85835,                0.88076,                0.64729,                 0.8953,                0.53899,                0.97583,             0.00092842,             0.00092842,             0.00092842
                     85,                 0.6251,                 0.3817,                0.84913,                0.88694,                0.86182,                0.88653,                0.64976,                0.90366,                0.54505,                0.97635,             0.00092622,             0.00092622,             0.00092622
                     86,                0.63329,                0.39322,                0.85209,                0.87808,                0.83868,                0.87254,                0.64004,                0.90813,                0.55843,                0.98371,             0.00092402,             0.00092402,             0.00092402
                     87,                0.62566,                0.38384,                0.84489,                0.87672,                0.82984,                0.86851,                0.64133,                0.90368,                0.57572,                 0.9762,             0.00092182,             0.00092182,             0.00092182
