                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5735,                 2.4926,                  1.119,                 0.0238,                0.56348,                0.33191,                0.20449,                 1.3454,                 3.2061,                 1.0405,             0.00036446,             0.00036446,             0.00036446
                      1,                 1.4793,                 1.4912,                 1.0731,                0.66796,                0.58996,                0.57871,                0.36035,                 1.3451,                 1.5014,                 1.0522,             0.00073333,             0.00073333,             0.00073333
                      2,                 1.4357,                 1.3193,                 1.0722,                0.60978,                0.57849,                0.59669,                0.34093,                 1.3304,                 1.2822,                 1.0706,              0.0011007,              0.0011007,              0.0011007
                      3,                 1.3783,                 1.1815,                 1.0626,                0.62923,                0.58491,                0.58603,                 0.3605,                 1.3276,                 1.1324,                 1.0658,              0.0011044,              0.0011044,              0.0011044
                      4,                   1.34,                 1.1362,                   1.05,                0.70512,                0.50743,                 0.5925,                0.35115,                 1.3503,                 1.1512,                 1.0835,              0.0011044,              0.0011044,              0.0011044
                      5,                 1.3256,                 1.0598,                 1.0362,                0.70489,                0.65526,                0.69046,                 0.4202,                 1.2788,                 1.0353,                 1.0514,              0.0011022,              0.0011022,              0.0011022
                      6,                   1.31,                  1.001,                 1.0282,                0.68021,                0.68232,                0.73805,                0.46683,                 1.2234,                0.95836,                 1.0139,                 0.0011,                 0.0011,                 0.0011
                      7,                 1.2378,                0.93576,                 1.0223,                0.79598,                0.64023,                0.71658,                0.46149,                 1.2304,                0.92803,                 1.0458,              0.0010978,              0.0010978,              0.0010978
                      8,                 1.2489,                0.90829,                 1.0131,                0.70914,                0.72539,                0.73937,                0.46957,                 1.2465,                0.90321,                 1.0313,              0.0010956,              0.0010956,              0.0010956
                      9,                 1.2117,                0.85712,                 1.0028,                0.80283,                0.59029,                0.69871,                0.44452,                 1.2026,                 0.9399,                 1.0208,              0.0010934,              0.0010934,              0.0010934
                     10,                 1.2176,                0.86524,                 1.0043,                0.79171,                0.67754,                0.75291,                0.45293,                 1.2605,                0.86514,                 1.0341,              0.0010912,              0.0010912,              0.0010912
                     11,                 1.2187,                0.84435,                 1.0023,                0.74796,                0.73201,                0.76964,                0.48479,                 1.2271,                0.80539,                 1.0276,               0.001089,               0.001089,               0.001089
                     12,                 1.1876,                0.80989,                0.99551,                0.75901,                0.72172,                0.74676,                0.48882,                  1.182,                0.79346,                 1.0214,              0.0010868,              0.0010868,              0.0010868
                     13,                 1.1855,                0.80034,                0.99044,                0.80748,                0.73769,                 0.7723,                0.48254,                 1.1815,                0.84048,                 1.0109,              0.0010846,              0.0010846,              0.0010846
                     14,                 1.1545,                0.76846,                0.97969,                 0.8171,                0.71692,                0.76342,                0.48974,                 1.1878,                0.82601,                 1.0283,              0.0010824,              0.0010824,              0.0010824
                     15,                 1.1631,                0.76289,                0.97978,                 0.7058,                0.76781,                0.74534,                0.47709,                 1.1871,                0.80716,                 1.0326,              0.0010802,              0.0010802,              0.0010802
                     16,                 1.1388,                0.74826,                0.97842,                0.80613,                0.70791,                0.74943,                0.47654,                 1.1389,                0.81587,                 1.0078,               0.001078,               0.001078,               0.001078
                     17,                  1.124,                0.74333,                0.97103,                0.80008,                0.71366,                0.78598,                0.49521,                 1.1547,                0.76671,                 1.0108,              0.0010758,              0.0010758,              0.0010758
                     18,                 1.1147,                0.73143,                0.96905,                0.81578,                 0.6897,                0.77988,                0.49373,                 1.1628,                0.77919,                0.99799,              0.0010736,              0.0010736,              0.0010736
                     19,                 1.1089,                0.71658,                0.96534,                0.73781,                0.72109,                0.76665,                0.49466,                 1.2102,                0.81277,                 1.0403,              0.0010714,              0.0010714,              0.0010714
                     20,                 1.0969,                0.69562,                0.96481,                 0.7919,                0.75906,                0.78622,                0.51482,                 1.1165,                0.77467,                0.99378,              0.0010692,              0.0010692,              0.0010692
                     21,                 1.0891,                0.68502,                 0.9592,                0.76978,                0.77209,                0.79222,                0.52269,                 1.1135,                0.74704,                0.99536,               0.001067,               0.001067,               0.001067
                     22,                 1.0796,                0.68352,                0.95453,                0.83375,                0.78389,                 0.7855,                0.50757,                  1.146,                0.75686,                0.99368,              0.0010648,              0.0010648,              0.0010648
                     23,                 1.0636,                0.67173,                0.95949,                0.79495,                0.76978,                0.80312,                0.52797,                 1.1253,                0.75282,                0.99963,              0.0010626,              0.0010626,              0.0010626
                     24,                 1.0641,                0.67568,                0.95597,                0.79852,                0.78335,                0.80556,                0.52891,                 1.1217,                 0.7075,                0.98591,              0.0010604,              0.0010604,              0.0010604
                     25,                 1.0763,                0.67008,                0.95788,                 0.8661,                0.72517,                0.81322,                0.54959,                 1.1115,                0.70499,                0.98915,              0.0010582,              0.0010582,              0.0010582
                     26,                 1.0419,                0.64441,                0.94554,                0.83716,                0.75375,                0.80758,                0.51428,                 1.1048,                0.75672,                0.99639,               0.001056,               0.001056,               0.001056
                     27,                 1.0468,                0.64524,                0.94812,                0.83915,                0.78647,                0.80156,                 0.5262,                 1.1317,                0.71151,                 1.0051,              0.0010538,              0.0010538,              0.0010538
                     28,                 1.0546,                0.65139,                 0.9525,                0.79586,                0.75259,                0.79605,                0.51294,                 1.1106,                0.71376,                0.99539,              0.0010516,              0.0010516,              0.0010516
                     29,                 1.0398,                0.64833,                0.95118,                0.77456,                0.79276,                 0.8039,                0.54082,                 1.1027,                0.72739,                0.98697,              0.0010494,              0.0010494,              0.0010494
                     30,                 1.0155,                0.62455,                0.93469,                 0.7653,                0.78558,                0.80831,                0.52998,                 1.0965,                0.72193,                0.98462,              0.0010472,              0.0010472,              0.0010472
                     31,                 1.0104,                0.62246,                0.93769,                0.85176,                0.78723,                0.82505,                0.53726,                 1.1034,                0.69239,                0.98806,               0.001045,               0.001045,               0.001045
                     32,                 1.0161,                0.62569,                0.93802,                0.83686,                0.71773,                0.80228,                  0.537,                 1.0873,                0.69071,                0.99755,              0.0010428,              0.0010428,              0.0010428
                     33,                0.98381,                0.59844,                0.92925,                 0.8422,                0.73726,                0.81364,                0.54324,                 1.0806,                0.70931,                0.99367,              0.0010406,              0.0010406,              0.0010406
                     34,                0.98255,                0.60193,                0.92779,                0.73972,                0.79783,                0.78553,                0.52937,                 1.1048,                0.75439,                0.98909,              0.0010384,              0.0010384,              0.0010384
                     35,                  0.983,                0.60281,                0.92727,                0.77168,                0.77344,                0.79263,                0.52932,                  1.094,                0.70683,                0.99139,              0.0010362,              0.0010362,              0.0010362
                     36,                0.99764,                0.61704,                0.93061,                0.86579,                0.76094,                0.80531,                0.51689,                 1.1357,                0.71596,                 1.0156,               0.001034,               0.001034,               0.001034
                     37,                0.96959,                 0.5984,                0.92833,                0.79279,                0.77956,                0.82402,                0.54748,                 1.1032,                0.70453,                0.98857,              0.0010318,              0.0010318,              0.0010318
                     38,                0.95821,                0.58799,                0.92257,                0.82713,                0.77887,                0.81933,                0.54817,                 1.0912,                0.68838,                0.99217,              0.0010296,              0.0010296,              0.0010296
                     39,                0.96051,                0.58648,                0.92248,                0.84877,                0.75834,                0.80846,                0.53872,                 1.1064,                0.71665,                 1.0076,              0.0010274,              0.0010274,              0.0010274
                     40,                0.95396,                0.57957,                0.91892,                0.84291,                 0.7706,                0.81189,                0.54474,                  1.087,                0.68198,                0.99191,              0.0010252,              0.0010252,              0.0010252
                     41,                 0.9762,                0.58911,                0.93141,                0.81953,                0.80203,                0.84014,                0.57157,                 1.0842,                0.67035,                0.99437,               0.001023,               0.001023,               0.001023
                     42,                0.94653,                0.57778,                0.91939,                 0.8082,                0.80692,                0.81247,                0.54175,                 1.0769,                0.67782,                0.98996,              0.0010208,              0.0010208,              0.0010208
                     43,                0.94462,                0.57659,                0.91996,                0.84614,                0.81214,                0.83745,                0.57106,                 1.0796,                0.67552,                0.98999,              0.0010186,              0.0010186,              0.0010186
                     44,                0.94869,                0.57663,                0.92323,                0.86337,                0.83174,                0.86558,                0.57328,                 1.0741,                0.63183,                  0.995,              0.0010164,              0.0010164,              0.0010164
                     45,                0.94607,                0.56756,                0.91516,                0.85454,                0.78853,                0.84099,                0.56908,                 1.0722,                0.66789,                 0.9879,              0.0010142,              0.0010142,              0.0010142
                     46,                0.91275,                 0.5508,                0.90961,                0.86263,                0.77262,                 0.8334,                0.55966,                 1.0831,                0.64406,                0.99623,               0.001012,               0.001012,               0.001012
                     47,                0.91957,                0.55334,                0.90924,                0.82202,                0.78637,                0.82447,                0.56289,                 1.0728,                0.65586,                0.98744,              0.0010098,              0.0010098,              0.0010098
                     48,                0.92684,                0.55886,                0.90954,                0.91002,                 0.7964,                0.84211,                0.57563,                 1.0717,                0.67878,                 0.9943,              0.0010076,              0.0010076,              0.0010076
                     49,                0.91791,                0.55322,                0.91289,                0.83952,                0.80282,                0.83735,                0.56576,                 1.0595,                0.67002,                0.98647,              0.0010054,              0.0010054,              0.0010054
                     50,                0.90798,                0.54962,                0.91128,                0.82059,                0.80236,                0.81893,                0.54608,                 1.0682,                0.68069,                0.99518,              0.0010032,              0.0010032,              0.0010032
                     51,                0.90202,                0.54459,                0.90543,                0.86288,                0.79468,                0.85029,                 0.5603,                 1.0547,                0.64049,                0.98113,               0.001001,               0.001001,               0.001001
                     52,                0.90574,                0.54266,                0.90929,                0.85848,                0.80492,                0.83862,                0.57966,                 1.0507,                0.64216,                0.98782,             0.00099881,             0.00099881,             0.00099881
                     53,                0.89193,                 0.5444,                0.90847,                0.84223,                0.79528,                0.81735,                0.54951,                 1.0585,                0.65834,                 1.0007,             0.00099661,             0.00099661,             0.00099661
                     54,                0.90284,                0.54333,                0.90929,                0.84084,                0.78304,                0.81934,                0.57054,                 1.0485,                 0.6418,                0.98621,             0.00099441,             0.00099441,             0.00099441
                     55,                0.90637,                0.54637,                0.90849,                0.84203,                0.80718,                0.83963,                0.55375,                 1.0538,                0.66805,                0.98958,             0.00099221,             0.00099221,             0.00099221
                     56,                0.89917,                0.54524,                0.90701,                0.84145,                0.78882,                 0.8221,                0.56705,                 1.0341,                0.66395,                 0.9759,             0.00099001,             0.00099001,             0.00099001
                     57,                0.89448,                0.53801,                0.90398,                0.84871,                0.79622,                 0.8409,                0.57037,                 1.0424,                0.65192,                0.98245,             0.00098781,             0.00098781,             0.00098781
